ID;name;explorationReport;alienCivilisation_ID
72f0c3a8-412c-4a69-a408-6acdfd44abf2;Black Eye;One explorer went insane but no civilisations were found;
6889783c-6d0b-40e1-8fe3-e17ec92b7328;Andromeda;Our closest neighbour though we were too late to get to know them;a14f8d1f-b56d-42a2-81e1-eabada34f3eb
12dace1e-3e62-41c9-b5e1-979c63cb5e3b;Milky Way;The cradle of humanity, well-explored;
52a927e1-ab88-4fc3-ad92-0a06c3f9c375;Andromeda Prime;It's vast water supply beneath the ice seemed promising, yet no life was found underneath it;
6e12dc6a-3823-4daf-9479-89e7887c0dcf;Centaurus Spiral;Craters on some planets show signs of a impact but our scientists were unable to find out if this was alien-made or purely a coincidence;
7ab25ff5-3c59-465d-82a0-7eee7433cb66;Draco's Wisp;While a great source for our gas reserves, no signs of life were found here;
977cd983-5d81-4e55-b7b9-da54838fb741;Pegasus Cluster;When we made contact, our lead explorer told us the sentient gas cloud seemed smug. We're not sure how but we think he's right.;3ae1a684-f5b5-4f71-91a9-569e18620b09
e4bb602b-e498-45e7-a866-7ab5a9bf94bd;Triangulum Void;Be careful you do not gaze upon this galaxy for too long;
da978225-e392-4767-857d-65c0b2b65d52;Sagittarius Nebula;Most of the oceans we found were boiling hot, too hot for life;
1290767f-e1f2-4fc9-b78e-c924d1713ddc;Virgo Zenith;No life was found among the craters and the lava streams;
4ad8935f-9fa1-48af-af5f-2894914f3631;Perseus Chain;While promising, we did not find any avian friends;
bd0b9f23-fde7-475a-8aad-634d944f1255;Phoenix Arm;No life has risen in the Phoenix system;
6dc44b8f-17d4-4f30-851a-5660af7c04e8;Hydra Swarm;Despite its frightening name, no monsters were found here;
d3fe84a9-4fc9-4757-8158-439180d2caff;Lyra Lens;Our explorers complained about the long trip with little results;
8c1dd73e-e03a-48da-af3c-def5b20bd959;Auriga Disk;Most orbits are too unstable to ever support life, even with terraforming;
692a77cd-c6c9-4b9d-b779-02ea5fa91859;Orion Rift;Why our scientists thought there might be aquaphibians in this Chtonian wasteland is the real mystery;
ccd16338-d1b7-44a8-bcbd-c55c0502c8de;Cygnus Drift;One exploration cruiser got pulled into a gas giant, this place holds only death, no life;
58363b7c-57b2-4237-9d3a-52abca2927cf;Taurus Spire;Its scorching stars ruined any chance of life;
137100aa-bb58-434b-98dd-be7c3b9c1fa9;Canis Majoris Stream;No life was found inbetween these dog stars;
65bca17f-804d-44a1-801d-7e40424eef8d;Ursa Minor Swirl;Our explorers found many breathtaking views but little to no sentient life;
bccb1d13-ee69-4d06-96d0-f2f6ccbc03ba;Cetus Arc;Our explorers had to return prematurely due to losing several men to frostbite. They doubt however that they could have ever found sentient life here.
7f2a9379-9fd0-404a-bfa7-007f3f97c858;Carina Depth;While no life was found here, our lead explorer has suggested terraforming a planet to build a beach resort here.
bc320bcd-8424-4325-8773-863fb5d88a15;Pavo Halo;It would have been a reach to find sentient life here;
2ffff005-4f75-4b11-8956-9e97bc032544;Lepus Loop;...our lead explore said last time, we're stuck in a time loop. Which really annoys me because that what...;
1f3445c9-7c92-492f-818f-5167f4f27e51;Monoceros Fracture;While no life was found, the strange orbits of the stars continue to intrigue our scientists;
10bfe40f-fdb7-476e-9c83-925231cbeec0;Ophiuchus Veil;One explorer found a planet made entirely out of gold, ever since he refuses to return to our Capital planet;
